barcode_name	library	experiment	biological	microbes	genotype	technical	compartment	library_type	genotype_compartment	genotype_microbes	compartment_microbes	genotype_compartment_microbes	growth_promotion	experiment_biological	genotype_experiment_biological	genotype_biological	growth_promotion_three	Description
FP1A1bio2BFOWTtech4endophytesoomycete	ITS1_58	FP1	A1	bio2	BFO	WT	tech4	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio2	WT_A1_bio2	WT_bio2	high	FP1A1bio2BFOWTtech4endophytesoomycete
FP2A1bio4BFOWTtech1endophytesoomycete	ITS1_6	FP2	A1	bio4	BFO	WT	tech1	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio4	WT_A1_bio4	WT_bio4	high	FP2A1bio4BFOWTtech1endophytesoomycete
FP2A1bio4BFOWTtech2endophytesoomycete	ITS1_7	FP2	A1	bio4	BFO	WT	tech2	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio4	WT_A1_bio4	WT_bio4	high	FP2A1bio4BFOWTtech2endophytesoomycete
FP2A1bio4BFOWTtech3endophytesoomycete	ITS1_8	FP2	A1	bio4	BFO	WT	tech3	endophytes	oomycetes	WT_endophytes	WT_BFO	endophytes_BFO	WT_endophytes_BFO	yes	A1_bio4	WT_A1_bio4	WT_bio4	high	FP2A1bio4BFOWTtech3endophytesoomycete
FP3A41BFOWTnew1endophytesoomycete	ITS1_1	FP3	A4	bio1	BFO	WT_new	tech1	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio1	WT_new_A4_bio1	WT_new_bio1	high	FP3A41BFOWT_new1endophytesoomycete
FP3A41BFOWTnew2endophytesoomycete	ITS1_2	FP3	A4	bio1	BFO	WT_new	tech2	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio1	WT_new_A4_bio1	WT_new_bio1	high	FP3A41BFOWT_new2endophytesoomycete
FP3A41BFOWTnew3endophytesoomycete	ITS1_3	FP3	A4	bio1	BFO	WT_new	tech3	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio1	WT_new_A4_bio1	WT_new_bio1	high	FP3A41BFOWT_new3endophytesoomycete
FP3A41BFOWTnew4endophytesoomycete	ITS1_4	FP3	A4	bio1	BFO	WT_new	tech4	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio1	WT_new_A4_bio1	WT_new_bio1	high	FP3A41BFOWT_new4endophytesoomycete
FP3A42BFOWTnew1endophytesoomycete	ITS1_47	FP3	A4	bio2	BFO	WT_new	tech1	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio2	WT_new_A4_bio2	WT_new_bio2	high	FP3A42BFOWT_new1endophytesoomycete
FP3A42BFOWTnew2endophytesoomycete	ITS1_48	FP3	A4	bio2	BFO	WT_new	tech2	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio2	WT_new_A4_bio2	WT_new_bio2	high	FP3A42BFOWT_new2endophytesoomycete
FP3A42BFOWTnew3endophytesoomycete	ITS1_49	FP3	A4	bio2	BFO	WT_new	tech3	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio2	WT_new_A4_bio2	WT_new_bio2	high	FP3A42BFOWT_new3endophytesoomycete
FP3A42BFOWTnew4endophytesoomycete	ITS1_50	FP3	A4	bio2	BFO	WT_new	tech4	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio2	WT_new_A4_bio2	WT_new_bio2	high	FP3A42BFOWT_new4endophytesoomycete
FP3A43BFOWTnew1endophytesoomycete	ITS1_93	FP3	A4	bio4	BFO	WT_new	tech1	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio4	WT_new_A4_bio4	WT_new_bio4	high	FP3A43BFOWT_new1endophytesoomycete
FP3A43BFOWTnew2endophytesoomycete	ITS1_94	FP3	A4	bio4	BFO	WT_new	tech2	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio4	WT_new_A4_bio4	WT_new_bio4	high	FP3A43BFOWT_new2endophytesoomycete
FP3A43BFOWTnew3endophytesoomycete	ITS1_95	FP3	A4	bio4	BFO	WT_new	tech3	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio4	WT_new_A4_bio4	WT_new_bio4	high	FP3A43BFOWT_new3endophytesoomycete
FP3A43BFOWTnew4endophytesoomycete	ITS1_96	FP3	A4	bio4	BFO	WT_new	tech4	endophytes	oomycetes	WT_new_endophytes	WT_new_BFO	endophytes_BFO	WT_new_endophytes_BFO	yes	A4_bio4	WT_new_A4_bio4	WT_new_bio4	high	FP3A43BFOWT_new4endophytesoomycete
