project	biological	genotype	treatment	genotype_treatment	genotype_treatment_biological	technical	sample_code	compartment	qPCR_plate	Cq_16S	Cq_UBQ10	16S_UBQ_ref
G1	bio1	cyp79b2b3	BF	cyp79b2b3_BF	cyp79b2b3_BF_bio1	tech5	G1-1-60-BF	root	plate2	14.13	19.62	0.076162567
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech1	G1-1-61-BO	root	plate5	12.01	18.34	0.485470069
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech2	G1-1-62-BO	root	plate6	15.47	20.2	0.106053465
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech3	G1-1-63-BO	root	plate6	14.32	20.39	0.268363193
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech4	G1-1-64-BO	root	plate6	13.45	20.05	0.385589897
G1	bio1	cyp79b2b3	BO	cyp79b2b3_BO	cyp79b2b3_BO_bio1	tech5	G1-1-65-BO	root	plate6	14.69	19.97	0.155328521
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech1	G1-2-1-BFO	root	plate4	15.32	19.64	0.112868933
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech2	G1-2-2-BFO	root	plate4	14.12	19.23	0.194131144
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech3	G1-2-3-BFO	root	plate4	11.11	18.02	0.676478718
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech4	G1-2-4-BFO	root	plate4	9.66	17.64	1.423334616
G1	bio2	WT	BFO	WT_BFO	WT_BFO_bio2	tech5	G1-2-5-BFO	root	plate4	11.28	17.83	0.529430854
G1	bio2	WT	B	WT_B	WT_B_bio2	tech1	G1-2-6-B	root	plate1	15.36	20.09	0.107974284
G1	bio2	WT	B	WT_B	WT_B_bio2	tech2	G1-2-7-B	root	plate1	15.03	20.01	0.127553129
G1	bio2	WT	B	WT_B	WT_B_bio2	tech3	G1-2-8-B	root	plate1	15.04	20.09	0.133877726
G1	bio2	WT	B	WT_B	WT_B_bio2	tech4	G1-2-9-B	root	plate1	15.01	19.97	0.126343014
G1	bio2	WT	B	WT_B	WT_B_bio2	tech5	G1-2-10-B	root	plate1	14.97	19.47	0.091887689
G1	bio2	WT	BF	WT_BF	WT_BF_bio2	tech1	G1-2-21-BF	root	plate2	13.69	18.91	0.063271302
