exp	biol1	gen	treat	FW_g	FP	No
NF1	biol2	WT	F-old	0	fp4	pl2
NF1	biol2	WT	F-old	0	fp4	pl3
NF1	biol2	WT	F-old	0	fp4	pl4
NF1	biol2	WT	F-old	0	fp5	pl1
NF1	biol2	WT	F-old	0	fp5	pl2
NF1	biol2	WT	F-old	0	fp5	pl3
NF1	biol2	WT	F-old	0	fp5	pl4
NF1	biol2	WT	F-old	0.0157	fp6	pl1
NF1	biol2	WT	F-old	0	fp6	pl2
NF1	biol2	WT	F-old	0	fp6	pl3
NF1	biol2	WT	F-old	0	fp6	pl4
NF1	biol3	WT	F-old	0.0801	fp1	pl1
NF1	biol3	WT	F-old	0.0065	fp1	pl2
NF1	biol3	WT	F-old	0.0095	fp1	pl3
NF1	biol3	WT	F-old	0.0024	fp1	pl4
NF1	biol3	WT	F-old	0.1047	fp2	pl1
NF1	biol3	WT	F-old	0.0255	fp2	pl2
NF1	biol3	WT	F-old	0.0016	fp2	pl3
NF1	biol3	WT	F-old	0	fp2	pl4
NF1	biol3	WT	F-old	0.0257	fp3	pl1
NF1	biol3	WT	F-old	0.0188	fp3	pl2
NF1	biol3	WT	F-old	0	fp3	pl3
NF1	biol3	WT	F-old	0	fp3	pl4
NF1	biol3	WT	F-old	0.03	fp4	pl1
NF1	biol3	WT	F-old	0.0254	fp4	pl2
NF1	biol3	WT	F-old	0.022	fp4	pl3
