barcode_name	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio2tp1wrkyendophytestech1	ITS1_90	GR1	B1	bio2	tp1	wrky3340	endophytes	tech1	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech1
Gr1B1bio2tp1wrkyendophytestech2	ITS1_91	GR1	B1	bio2	tp1	wrky3340	endophytes	tech2	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech2
Gr1B1bio2tp1wrkyendophytestech3	ITS1_92	GR1	B1	bio2	tp1	wrky3340	endophytes	tech3	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech3
Gr1B1bio2tp1wrkyendophytestech4	ITS1_93	GR1	B1	bio2	tp1	wrky3340	endophytes	tech4	fungi	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2tp1wrkyendophytestech4
Gr1B1bio2tp1efcendophytestech1	ITS1_94	GR1	B1	bio2	tp1	efc	endophytes	tech1	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech1
Gr1B1bio2tp1efcendophytestech2	ITS1_95	GR1	B1	bio2	tp1	efc	endophytes	tech2	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech2
Gr1B1bio2tp1efcendophytestech3	ITS1_96	GR1	B1	bio2	tp1	efc	endophytes	tech3	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2tp1efcendophytestech3
Gr2B1bio2tp1efcendophytestech4	ITS1_1	GR2	B1	bio2	tp1	efc	endophytes	tech4	fungi	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr2B1bio2tp1efcendophytestech4
Gr2B1bio2tp1bbendophytestech1	ITS1_2	GR2	B1	bio2	tp1	bb	endophytes	tech1	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech1
Gr2B1bio2tp1bbendophytestech2	ITS1_3	GR2	B1	bio2	tp1	bb	endophytes	tech2	fungi	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2tp1bbendophytestech2
