barcode_name	location	library	experiment	biological	time_point	genotype	compartment	technical	library_type	genotype_compartment	genotype_time_point	compartment_time_point	genotype_compartment_time_point	experiment_biological	Description
Gr1B1bio2tp1WTendophytestech1	B5_83	greenhouse	Gr1	B1	bio2	tp1	WT	endophytes	tech1	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2t1WTendophytestech1
Gr1B1bio2tp1WTendophytestech2	B5_84	greenhouse	Gr1	B1	bio2	tp1	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2t1WTendophytestech2
Gr1B1bio2tp1WTendophytestech3	B5_85	greenhouse	Gr1	B1	bio2	tp1	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2t1WTendophytestech3
Gr1B1bio2tp1WTendophytestech4	B5_86	greenhouse	Gr1	B1	bio2	tp1	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp1	endophytes_tp1	WT_endophytes_tp1	B1_bio2	Gr1B1bio2t1WTendophytestech4
Gr1B1bio2tp1wrkyendophytestech1	B5_90	greenhouse	Gr1	B1	bio2	tp1	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2t1wrkyendophytestech1
Gr1B1bio2tp1wrkyendophytestech2	B5_91	greenhouse	Gr1	B1	bio2	tp1	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2t1wrkyendophytestech2
Gr1B1bio2tp1wrkyendophytestech3	B5_92	greenhouse	Gr1	B1	bio2	tp1	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2t1wrkyendophytestech3
Gr1B1bio2tp1wrkyendophytestech4	B5_93	greenhouse	Gr1	B1	bio2	tp1	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp1	endophytes_tp1	wrky3340_endophytes_tp1	B1_bio2	Gr1B1bio2t1wrkyendophytestech4
Gr1B1bio2tp1efcendophytestech1	B5_94	greenhouse	Gr1	B1	bio2	tp1	efc	endophytes	tech1	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2t1efcendophytestech1
Gr1B1bio2tp1efcendophytestech2	B5_95	greenhouse	Gr1	B1	bio2	tp1	efc	endophytes	tech2	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2t1efcendophytestech2
Gr1B1bio2tp1efcendophytestech3	B5_96	greenhouse	Gr1	B1	bio2	tp1	efc	endophytes	tech3	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr1B1bio2t1efcendophytestech3
Gr2B1bio2tp1efcendophytestech4	B5_1	greenhouse	Gr2	B1	bio2	tp1	efc	endophytes	tech4	bacteria	efc_endophytes	efc_tp1	endophytes_tp1	efc_endophytes_tp1	B1_bio2	Gr2B1bio2t1efcendophytestech4
Gr2B1bio2tp1bbendophytestech1	B5_2	greenhouse	Gr2	B1	bio2	tp1	bb	endophytes	tech1	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2t1bbendophytestech1
Gr2B1bio2tp1bbendophytestech2	B5_3	greenhouse	Gr2	B1	bio2	tp1	bb	endophytes	tech2	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2t1bbendophytestech2
Gr2B1bio2tp1bbendophytestech3	B5_4	greenhouse	Gr2	B1	bio2	tp1	bb	endophytes	tech3	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2t1bbendophytestech3
Gr2B1bio2tp1bbendophytestech4	B5_5	greenhouse	Gr2	B1	bio2	tp1	bb	endophytes	tech4	bacteria	bb_endophytes	bb_tp1	endophytes_tp1	bb_endophytes_tp1	B1_bio2	Gr2B1bio2t1bbendophytestech4
Gr2B1bio2tp1cyp79endophytestech1	B5_6	greenhouse	Gr2	B1	bio2	tp1	cyp79	endophytes	tech1	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2t1cyp79endophytestech1
Gr2B1bio2tp1cyp79endophytestech2	B5_7	greenhouse	Gr2	B1	bio2	tp1	cyp79	endophytes	tech2	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2t1cyp79endophytestech2
Gr2B1bio2tp1cyp79endophytestech3	B5_8	greenhouse	Gr2	B1	bio2	tp1	cyp79	endophytes	tech3	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2t1cyp79endophytestech3
Gr2B1bio2tp1cyp79endophytestech4	B5_9	greenhouse	Gr2	B1	bio2	tp1	cyp79	endophytes	tech4	bacteria	cyp79_endophytes	cyp79_tp1	endophytes_tp1	cyp79_endophytes_tp1	B1_bio2	Gr2B1bio2t1cyp79endophytestech4
Gr2B1bio2tp1depsendophytestech1	B5_10	greenhouse	Gr2	B1	bio2	tp1	deps	endophytes	tech1	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2t1depsendophytestech1
Gr2B1bio2tp1depsendophytestech2	B5_11	greenhouse	Gr2	B1	bio2	tp1	deps	endophytes	tech2	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2t1depsendophytestech2
Gr2B1bio2tp1depsendophytestech3	B5_12	greenhouse	Gr2	B1	bio2	tp1	deps	endophytes	tech3	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2t1depsendophytestech3
Gr2B1bio2tp1depsendophytestech4	B5_13	greenhouse	Gr2	B1	bio2	tp1	deps	endophytes	tech4	bacteria	deps_endophytes	deps_tp1	endophytes_tp1	deps_endophytes_tp1	B1_bio2	Gr2B1bio2t1depsendophytestech4
Gr2B1bio2tp1pad4endophytestech1	B5_18	greenhouse	Gr2	B1	bio2	tp1	pad4	endophytes	tech1	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2t1pad4endophytestech1
Gr2B1bio2tp1pad4endophytestech2	B5_19	greenhouse	Gr2	B1	bio2	tp1	pad4	endophytes	tech2	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2t1pad4endophytestech2
Gr2B1bio2tp1pad4endophytestech3	B5_20	greenhouse	Gr2	B1	bio2	tp1	pad4	endophytes	tech3	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2t1pad4endophytestech3
Gr2B1bio2tp1pad4endophytestech4	B5_21	greenhouse	Gr2	B1	bio2	tp1	pad4	endophytes	tech4	bacteria	pad4_endophytes	pad4_tp1	endophytes_tp1	pad4_endophytes_tp1	B1_bio2	Gr2B1bio2t1pad4endophytestech4
Gr2B1bio2tp1rar1endophytestech1	B5_22	greenhouse	Gr2	B1	bio2	tp1	rar1	endophytes	tech1	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2t1rar1endophytestech1
Gr2B1bio2tp1rar1endophytestech2	B5_23	greenhouse	Gr2	B1	bio2	tp1	rar1	endophytes	tech2	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2t1rar1endophytestech2
Gr2B1bio2tp1rar1endophytestech3	B5_24	greenhouse	Gr2	B1	bio2	tp1	rar1	endophytes	tech3	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2t1rar1endophytestech3
Gr2B1bio2tp1rar1endophytestech4	B5_25	greenhouse	Gr2	B1	bio2	tp1	rar1	endophytes	tech4	bacteria	rar1_endophytes	rar1_tp1	endophytes_tp1	rar1_endophytes_tp1	B1_bio2	Gr2B1bio2t1rar1endophytestech4
Gr2B1bio2tp2WTendophytestech1	B5_30	greenhouse	Gr2	B1	bio2	tp2	WT	endophytes	tech1	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2t2WTendophytestech1
Gr2B1bio2tp2WTendophytestech2	B5_31	greenhouse	Gr2	B1	bio2	tp2	WT	endophytes	tech2	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2t2WTendophytestech2
Gr2B1bio2tp2WTendophytestech3	B5_32	greenhouse	Gr2	B1	bio2	tp2	WT	endophytes	tech3	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2t2WTendophytestech3
Gr2B1bio2tp2WTendophytestech4	B5_33	greenhouse	Gr2	B1	bio2	tp2	WT	endophytes	tech4	bacteria	WT_endophytes	WT_tp2	endophytes_tp2	WT_endophytes_tp2	B1_bio2	Gr2B1bio2t2WTendophytestech4
Gr2B1bio2tp2wrkyendophytestech1	B5_38	greenhouse	Gr2	B1	bio2	tp2	wrky3340	endophytes	tech1	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2t2wrkyendophytestech1
Gr2B1bio2tp2wrkyendophytestech2	B5_39	greenhouse	Gr2	B1	bio2	tp2	wrky3340	endophytes	tech2	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2t2wrkyendophytestech2
Gr2B1bio2tp2wrkyendophytestech3	B5_40	greenhouse	Gr2	B1	bio2	tp2	wrky3340	endophytes	tech3	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2t2wrkyendophytestech3
Gr2B1bio2tp2wrkyendophytestech4	B5_41	greenhouse	Gr2	B1	bio2	tp2	wrky3340	endophytes	tech4	bacteria	wrky3340_endophytes	wrky3340_tp2	endophytes_tp2	wrky3340_endophytes_tp2	B1_bio2	Gr2B1bio2t2wrkyendophytestech4
